,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
105,pozuelo de alarcon,es,64.25,-15.21,5.85,3.97,97.0,64.0
107,hays,us,-17.52,146.03,28.45,1.22,79.0,0.0
108,hay river,ca,4.75,-6.64,24.73,3.02,97.0,48.0
109,gladstone,au,14.72,-92.42,32.0,6.2,46.0,40.0
110,arraial do cabo,br,43.49,-6.11,5.0,6.7,65.0,40.0
111,geresk,af,62.93,152.39,-20.9,3.22,68.0,44.0
113,karaul,ru,40.87,-124.08,11.0,8.7,53.0,20.0
114,colomi,bo,4.14,96.13,25.45,1.72,100.0,44.0
116,punta arenas,cl,39.81,-8.1,13.0,4.1,82.0,40.0
117,guanare,ve,40.92,140.47,-5.0,2.6,85.0,75.0
118,butaritari,ki,5.88,-56.32,25.5,6.82,100.0,92.0
119,valverde del camino,es,37.97,34.68,-0.03,1.52,92.0,92.0
120,santa marta de tormes,es,33.49,-86.97,21.0,4.1,55.0,40.0
121,manado,id,70.86,29.09,-3.0,4.6,85.0,75.0
122,talnakh,ru,-24.61,26.43,20.0,2.1,82.0,75.0
123,georgetown,gy,36.38,33.93,7.48,2.22,100.0,92.0
124,camalu,mx,69.49,88.39,-35.95,1.12,58.0,0.0
126,puerto ayora,ec,70.62,147.9,-26.18,8.17,69.0,12.0
127,puerto pinasco,py,-0.9,119.87,20.6,0.87,87.0,44.0
128,provideniya,ru,4.41,114.01,25.0,1.0,94.0,75.0
129,buariki,ki,2.67,72.89,27.4,5.52,100.0,44.0
130,khomeynishahr,ir,1.17,120.82,27.4,1.47,100.0,0.0
131,avanigadda,in,-22.22,30.0,18.3,7.82,96.0,92.0
132,koutiala,ml,63.53,53.61,-29.18,2.07,60.0,0.0
133,yangambi,cd,-3.71,-38.6,28.0,2.6,74.0,20.0
134,mobile,us,11.42,-9.17,25.4,1.62,64.0,0.0
135,kisangani,cd,-19.38,-40.06,24.05,3.22,85.0,8.0
136,alepe,ci,-19.93,-60.77,26.85,3.12,75.0,32.0
139,kurilsk,ru,-19.31,-64.3,15.85,0.77,96.0,76.0
142,maniitsoq,gl,3.81,23.69,21.58,0.97,99.0,64.0
143,scottsboro,us,-26.84,-53.58,20.73,1.32,91.0,56.0
144,diego de almagro,cl,13.47,22.2,21.83,3.82,27.0,0.0
145,eureka,us,-27.37,-55.9,25.0,4.1,83.0,90.0
146,voyvozh,ru,-7.75,112.01,21.98,2.07,92.0,12.0
147,kirksville,us,3.17,113.03,24.0,2.1,100.0,75.0
148,porto novo,cv,44.35,2.57,-6.0,5.7,41.0,0.0
149,itea,gr,2.74,23.78,22.23,0.87,98.0,64.0
150,khonuu,ru,36.21,-115.98,16.0,6.2,15.0,1.0
151,karauzyak,uz,61.81,51.56,-25.0,4.0,75.0,0.0
152,maragogi,br,37.61,-122.49,13.0,10.3,50.0,40.0
154,tubruq,ly,14.9,-24.5,20.13,2.22,100.0,56.0
155,kem,ru,37.68,31.72,1.4,2.97,93.0,8.0
156,sabang,id,44.61,27.49,-5.85,11.02,95.0,92.0
157,meridian,us,-27.8,-64.26,28.3,2.07,47.0,24.0
158,viljoenskroon,za,-34.48,-54.34,19.08,4.77,61.0,8.0
159,mount isa,au,8.92,-67.43,29.85,6.27,47.0,0.0
160,mrirt,ma,12.95,121.37,21.45,1.42,100.0,92.0
161,zhuanghe,cn,38.51,115.0,4.0,4.0,48.0,48.0
162,santiago del estero,ar,62.91,6.91,-1.0,5.7,79.0,20.0
163,raga,sd,-24.5,-56.68,25.7,1.97,80.0,92.0
164,charters towers,au,-16.78,-151.5,28.38,6.37,96.0,0.0
165,rawannawi,ki,66.94,-53.67,-29.68,1.42,61.0,0.0
166,inverell,au,43.17,5.6,0.0,7.7,100.0,90.0
167,santona,es,-33.01,17.94,16.0,3.6,82.0,0.0
168,vardo,no,-22.67,167.48,27.13,5.22,96.0,56.0
169,longyearbyen,sj,-17.27,145.48,27.0,2.6,88.0,75.0
170,tucupita,ve,56.57,36.46,-18.8,3.02,83.0,64.0
171,san jose,bo,-45.75,170.57,14.5,1.82,88.0,80.0
173,van buren,us,12.9,124.09,25.3,3.82,100.0,80.0
174,porto murtinho,br,39.33,-120.18,3.0,6.7,51.0,90.0
175,boa vista,br,-21.36,55.77,26.0,2.1,78.0,0.0
176,torbat-e jam,ir,13.04,-9.49,24.48,2.82,49.0,0.0
177,arrifes,pt,-4.62,55.45,26.2,3.32,100.0,24.0
178,ribeira grande,pt,35.22,52.34,2.2,0.82,79.0,64.0
179,jaca,es,57.31,88.17,-20.15,1.12,79.0,36.0
180,kerki,tm,41.85,3.13,3.0,9.8,37.0,75.0
181,buzmeyin,tm,-17.26,27.46,21.95,1.87,100.0,88.0
183,saldanha,za,12.66,-1.89,32.0,1.0,35.0,0.0
184,kahului,us,43.64,-72.25,8.0,3.6,39.0,40.0
185,bedford,us,43.18,51.68,6.15,4.12,99.0,92.0
186,namie,jp,-21.27,55.42,26.0,2.1,78.0,0.0
187,caranavi,bo,43.37,-124.22,8.0,5.1,65.0,1.0
